Date,Price,Open,High,Low,Vol.,Change %
1/31/2024,"15,775.00","15,802.50","15,818.00","15,778.00",,-0.01%
2/1/2024,"15,760.00","15,787.50","15,802.50","15,757.50",,-0.10%
2/2/2024,"15,655.00","15,755.00","15,755.00","15,644.00",,-0.67%
2/5/2024,"15,700.00","15,725.00","15,727.50","15,690.50",,0.29%
2/6/2024,"15,725.00","15,752.50","15,757.50","15,722.50",,0.16%
2/7/2024,"15,630.00","15,722.50","15,727.50","15,615.00",,-0.60%
2/8/2024,"15,665.00","15,654.00","15,678.00","15,618.00",,0.22%
2/9/2024,"15,611.50","15,665.00","15,666.00","15,609.00",,-0.34%
2/12/2024,"15,590.00","15,640.00","15,640.00","15,594.50",,-0.14%
2/13/2024,"15,590.00","15,590.00","15,614.00","15,565.00",,0.00%
2/14/2024,"15,632.00","15,677.00","15,726.70","15,560.60",,0.27%
2/15/2024,"15,615.00","15,582.50","15,640.00","15,547.50",,-0.11%
2/16/2024,"15,615.00","15,655.00","15,677.50","15,620.00",,0.00%
2/19/2024,"15,625.00","15,640.00","15,642.50","15,616.00",,0.06%
2/20/2024,"15,655.00","15,640.00","15,669.00","15,637.50",,0.19%
2/21/2024,"15,630.00","15,670.00","15,685.00","15,635.00",,-0.16%
2/22/2024,"15,585.00","15,640.00","15,659.50","15,589.50",,-0.29%
2/23/2024,"15,590.00","15,602.50","15,607.50","15,572.50",,0.03%
2/26/2024,"15,625.00","15,622.50","15,642.50","15,619.00",,0.22%
2/27/2024,"15,635.00","15,650.00","15,662.50","15,640.00",,0.06%
2/28/2024,"15,680.00","15,645.00","15,692.00","15,645.00",,0.29%
2/29/2024,"15,710.00","15,705.00","15,735.50","15,690.00",,0.19%
3/1/2024,"15,695.00","15,722.50","15,722.50","15,680.00",,-0.10%
3/4/2024,"15,735.00","15,705.00","15,740.00","15,704.50",,0.25%
3/5/2024,"15,765.00","15,752.50","15,777.50","15,735.00",,0.19%
3/6/2024,"15,695.00","15,760.00","15,760.00","15,690.00",,-0.44%
3/7/2024,"15,650.00","15,667.50","15,685.00","15,635.00",,-0.29%
3/8/2024,"15,585.00","15,625.00","15,640.00","15,573.00",,-0.42%
3/11/2024,"15,525.00","15,541.30","15,590.00","15,438.50",,-0.38%
3/12/2024,"15,561.00","15,526.50","15,563.00","15,470.90",,0.23%
3/13/2024,"15,570.00","15,570.00","15,595.00","15,557.50",,0.06%
3/14/2024,"15,575.00","15,580.00","15,589.50","15,569.50",,0.03%
3/15/2024,"15,590.00","15,630.00","15,641.50","15,594.50",,0.10%
3/18/2024,"15,685.00","15,625.00","15,698.00","15,622.50",,0.61%
3/19/2024,"15,710.00","15,720.00","15,735.00","15,697.50",,0.16%
3/20/2024,"15,710.00","15,722.50","15,742.50","15,708.50",,0.00%
3/21/2024,"15,655.00","15,665.00","15,680.00","15,647.00",,-0.35%
3/22/2024,"15,775.00","15,730.00","15,790.00","15,722.50",,0.77%
3/25/2024,"15,795.00","15,785.00","15,808.50","15,775.00",,0.13%
3/26/2024,"15,785.00","15,800.00","15,810.00","15,780.00",,-0.06%
3/27/2024,"15,850.00","15,830.00","15,865.00","15,818.50",,0.41%
3/28/2024,"15,850.00","15,880.00","15,894.00","15,855.00",,0.00%
3/29/2024,"15,880.00","15,891.00","15,909.30","15,858.50",,0.19%
4/1/2024,"15,885.00","15,875.00","15,920.00","15,872.50",,0.03%
4/2/2024,"15,895.00","15,947.50","15,965.00","15,897.00",,0.06%
4/3/2024,"15,915.00","15,930.00","15,940.00","15,905.00",,0.13%
4/4/2024,"15,890.00","15,937.50","15,937.50","15,890.00",,-0.16%
4/5/2024,"15,840.00","15,907.50","15,916.00","15,842.50",,-0.31%
4/8/2024,"15,925.00","15,888.00","15,928.00","15,867.00",,0.54%
4/9/2024,"15,899.00","15,925.00","15,925.00","15,833.00",,-0.16%
4/10/2024,"15,998.00","15,900.00","16,002.00","15,826.00",,0.62%
4/11/2024,"16,031.00","16,002.00","16,036.50","15,950.50",,0.21%
4/12/2024,"16,117.00","16,030.50","16,161.30","15,996.00",,0.54%
4/15/2024,"16,116.70","16,118.00","16,138.00","16,050.80",,0.00%
4/16/2024,"16,170.00","16,075.00","16,210.00","16,072.50",,0.33%
4/17/2024,"16,215.00","16,235.00","16,272.50","16,210.00",,0.28%
4/18/2024,"16,170.00","16,185.00","16,195.00","16,155.00",,-0.28%
